image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.833574,bus,van,False
drive_022,2,1,0.882215,car,car,True
drive_022,3,3,0.821579,car,car,True
drive_022,4,5,0.869974,truck,bus,False
drive_022,5,4,0.863476,van,car,False
drive_033,10,10,0.815089,car,car,True
drive_033,11,8,0.84873,car,car,True
drive_033,12,6,0.799614,car,car,True
drive_033,15,7,0.878391,car,car,True
drive_033,16,5,0.783373,car,car,True
drive_033,17,11,0.88983,car,car,True
drive_033,18,9,0.872217,car,car,True
drive_033,22,12,0.882639,bus,van,False
drive_033,26,4,0.770229,car,car,True
drive_033,27,3,0.841274,car,car,True
drive_033,28,2,0.728489,truck,bus,False
drive_033,29,1,0.970929,bus,van,False
drive_038,7,12,0.807735,car,car,True
drive_038,8,1,0.922051,car,car,True
drive_038,9,2,0.923576,car,car,True
drive_038,10,3,0.894278,car,car,True
drive_038,11,4,0.955334,car,car,True
drive_038,17,6,0.855446,car,car,True
drive_038,18,7,0.844974,car,car,True
drive_038,19,11,0.751273,car,car,True
drive_038,20,8,0.912875,car,car,True
drive_038,21,10,0.843371,car,car,True
drive_038,22,13,0.790268,car,car,True
drive_038,23,14,0.851108,car,car,True
drive_038,24,15,0.856844,van,truck,False
drive_038,25,9,0.88389,truck,bus,False
drive_038,26,17,0.903479,car,car,True
drive_038,27,16,0.925389,car,car,True
drive_038,36,5,0.931586,truck,bus,False
drive_008,1,13,0.685269,car,car,True
drive_008,2,14,0.929985,car,car,True
drive_008,3,16,0.900714,car,car,True
drive_008,4,11,0.859798,car,car,True
drive_008,5,5,0.838723,van,truck,False
drive_008,6,3,0.920201,van,truck,False
drive_008,18,15,0.184726,car,car,True
drive_008,22,1,0.883694,truck,bus,False
drive_008,23,12,0.787865,van,truck,False
drive_008,27,4,0.898041,car,car,True
drive_008,28,6,0.874626,car,car,True
drive_008,29,2,0.889116,car,car,True
drive_008,30,9,0.963586,bus,van,False
drive_008,31,7,0.730691,car,car,True
